rank	user	item	score	rating
1	1	286	0.978725	
2	1	294	0.9738625	
3	1	288	0.9690375	
4	1	121	0.9555	4.0
5	1	300	0.9512375	
6	1	127	0.94705	5.0
7	1	7	0.93905	4.0
8	1	405	0.9163375	
9	1	313	0.9091875	
10	1	173	0.8925125	5.0
1	2	181	0.99405	
2	2	288	0.9690375	3.0
3	2	1	0.9643	4.0
4	2	174	0.95985	
5	2	121	0.9555	
6	2	98	0.9429875	
7	2	7	0.93905	
8	2	56	0.9351625	
9	2	117	0.9274625	
10	2	222	0.92365	
1	3	50	1.0	
2	3	100	0.98375	
3	3	286	0.978725	
4	3	1	0.9643	
5	3	174	0.95985	
6	3	121	0.9555	
7	3	300	0.9512375	2.0
8	3	127	0.94705	
9	3	98	0.9429875	
10	3	7	0.93905	
1	4	181	0.99405	
2	4	100	0.98375	
3	4	286	0.978725	
4	4	1	0.9643	
5	4	174	0.95985	
6	4	121	0.9555	
7	4	127	0.94705	
8	4	98	0.9429875	
9	4	7	0.93905	
10	4	56	0.9351625	
1	5	258	0.9887875	
2	5	100	0.98375	5.0
3	5	286	0.978725	
4	5	294	0.9738625	
5	5	288	0.9690375	
6	5	300	0.9512375	
7	5	127	0.94705	
8	5	7	0.93905	
9	5	56	0.9351625	
10	5	237	0.9313	
1	6	181	0.99405	
2	6	258	0.9887875	2.0
3	6	286	0.978725	2.0
4	6	288	0.9690375	
5	6	121	0.9555	
6	6	300	0.9512375	
7	6	7	0.93905	2.0
8	6	222	0.92365	
9	6	172	0.9199625	
10	6	313	0.9091875	
1	7	100	0.98375	5.0
2	7	1	0.9643	
3	7	98	0.9429875	4.0
4	7	117	0.9274625	
5	7	222	0.92365	
6	7	405	0.9163375	3.0
7	7	313	0.9091875	
8	7	748	0.889325	
9	7	328	0.8799625	
10	7	269	0.8769625	3.0
1	8	100	0.98375	
2	8	286	0.978725	
3	8	294	0.9738625	3.0
4	8	288	0.9690375	
5	8	1	0.9643	
6	8	121	0.9555	
7	8	300	0.9512375	
8	8	98	0.9429875	
9	8	237	0.9313	
10	8	117	0.9274625	
1	9	181	0.99405	
2	9	258	0.9887875	
3	9	100	0.98375	
4	9	288	0.9690375	
5	9	1	0.9643	
6	9	174	0.95985	
7	9	121	0.9555	
8	9	300	0.9512375	
9	9	127	0.94705	
10	9	98	0.9429875	
1	10	181	0.99405	
2	10	258	0.9887875	
3	10	288	0.9690375	
4	10	121	0.9555	
5	10	300	0.9512375	
6	10	237	0.9313	
7	10	117	0.9274625	
8	10	222	0.92365	
9	10	172	0.9199625	
10	10	405	0.9163375	
1	11	50	1.0	
2	11	181	0.99405	
3	11	100	0.98375	4.0
4	11	294	0.9738625	
5	11	288	0.9690375	
6	11	1	0.9643	
7	11	174	0.95985	
8	11	127	0.94705	
9	11	7	0.93905	
10	11	117	0.9274625	
1	12	181	0.99405	
2	12	258	0.9887875	
3	12	100	0.98375	
4	12	286	0.978725	
5	12	294	0.9738625	
6	12	288	0.9690375	
7	12	1	0.9643	
8	12	174	0.95985	5.0
9	12	121	0.9555	
10	12	7	0.93905	
1	13	181	0.99405	5.0
2	13	1	0.9643	3.0
3	13	174	0.95985	4.0
4	13	127	0.94705	5.0
5	13	98	0.9429875	4.0
6	13	172	0.9199625	5.0
7	13	151	0.8990875	
8	13	269	0.8769625	2.0
9	13	9	0.873975	3.0
10	13	195	0.871025	3.0
1	14	181	0.99405	5.0
2	14	258	0.9887875	
3	14	286	0.978725	
4	14	294	0.9738625	
5	14	1	0.9643	
6	14	174	0.95985	5.0
7	14	300	0.9512375	
8	14	127	0.94705	2.0
9	14	237	0.9313	
10	14	117	0.9274625	
1	15	50	1.0	5.0
2	15	258	0.9887875	3.0
3	15	100	0.98375	
4	15	294	0.9738625	
5	15	288	0.9690375	
6	15	174	0.95985	
7	15	300	0.9512375	4.0
8	15	98	0.9429875	
9	15	56	0.9351625	
10	15	117	0.9274625	
1	16	50	1.0	
2	16	181	0.99405	
3	16	258	0.9887875	
4	16	288	0.9690375	3.0
5	16	121	0.9555	
6	16	56	0.9351625	5.0
7	16	117	0.9274625	
8	16	222	0.92365	
9	16	172	0.9199625	5.0
10	16	405	0.9163375	
1	17	50	1.0	
2	17	181	0.99405	
3	17	258	0.9887875	
4	17	286	0.978725	3.0
5	17	288	0.9690375	
6	17	174	0.95985	
7	17	121	0.9555	
8	17	300	0.9512375	
9	17	127	0.94705	
10	17	98	0.9429875	
1	18	258	0.9887875	
2	18	294	0.9738625	
3	18	288	0.9690375	
4	18	1	0.9643	5.0
5	18	121	0.9555	
6	18	300	0.9512375	
7	18	98	0.9429875	5.0
8	18	7	0.93905	
9	18	237	0.9313	3.0
10	18	117	0.9274625	
1	19	50	1.0	
2	19	181	0.99405	
3	19	100	0.98375	
4	19	286	0.978725	
5	19	1	0.9643	
6	19	174	0.95985	
7	19	121	0.9555	
8	19	300	0.9512375	
9	19	127	0.94705	
10	19	98	0.9429875	
1	20	258	0.9887875	
2	20	100	0.98375	
3	20	286	0.978725	
4	20	294	0.9738625	
5	20	121	0.9555	3.0
6	20	300	0.9512375	
7	20	127	0.94705	
8	20	7	0.93905	
9	20	56	0.9351625	
10	20	237	0.9313	
1	21	181	0.99405	
2	21	174	0.95985	
3	21	121	0.9555	1.0
4	21	237	0.9313	
5	21	117	0.9274625	
6	21	172	0.9199625	
7	21	405	0.9163375	
8	21	204	0.9127625	
9	21	313	0.9091875	
10	21	79	0.9057875	
1	22	100	0.98375	
2	22	286	0.978725	
3	22	288	0.9690375	
4	22	1	0.9643	
5	22	300	0.9512375	
6	22	127	0.94705	5.0
7	22	98	0.9429875	
8	22	7	0.93905	
9	22	56	0.9351625	
10	22	237	0.9313	
1	23	286	0.978725	
2	23	288	0.9690375	
3	23	121	0.9555	
4	23	300	0.9512375	
5	23	127	0.94705	
6	23	56	0.9351625	4.0
7	23	237	0.9313	
8	23	117	0.9274625	
9	23	313	0.9091875	
10	23	168	0.9024	
1	24	50	1.0	
2	24	181	0.99405	
3	24	1	0.9643	
4	24	174	0.95985	
5	24	121	0.9555	
6	24	222	0.92365	
7	24	172	0.9199625	
8	24	405	0.9163375	
9	24	204	0.9127625	
10	24	313	0.9091875	
1	25	50	1.0	5.0
2	25	258	0.9887875	5.0
3	25	100	0.98375	
4	25	286	0.978725	
5	25	294	0.9738625	
6	25	288	0.9690375	
7	25	300	0.9512375	
8	25	56	0.9351625	
9	25	237	0.9313	
10	25	117	0.9274625	
1	26	258	0.9887875	3.0
2	26	174	0.95985	
3	26	300	0.9512375	4.0
4	26	98	0.9429875	
5	26	56	0.9351625	
6	26	237	0.9313	3.0
7	26	172	0.9199625	
8	26	204	0.9127625	
9	26	79	0.9057875	
10	26	168	0.9024	
1	27	50	1.0	3.0
2	27	181	0.99405	
3	27	258	0.9887875	
4	27	286	0.978725	3.0
5	27	294	0.9738625	
6	27	1	0.9643	
7	27	174	0.95985	
8	27	300	0.9512375	
9	27	127	0.94705	
10	27	98	0.9429875	
1	28	181	0.99405	
2	28	258	0.9887875	5.0
3	28	1	0.9643	
4	28	121	0.9555	
5	28	300	0.9512375	
6	28	127	0.94705	
7	28	7	0.93905	5.0
8	28	237	0.9313	
9	28	172	0.9199625	
10	28	405	0.9163375	
1	29	50	1.0	
2	29	181	0.99405	
3	29	258	0.9887875	
4	29	100	0.98375	
5	29	288	0.9690375	
6	29	1	0.9643	
7	29	174	0.95985	
8	29	121	0.9555	
9	29	127	0.94705	
10	29	7	0.93905	
1	30	50	1.0	3.0
2	30	100	0.98375	
3	30	288	0.9690375	
4	30	1	0.9643	
5	30	121	0.9555	
6	30	300	0.9512375	
7	30	127	0.94705	
8	30	98	0.9429875	
9	30	7	0.93905	4.0
10	30	56	0.9351625	
1	31	50	1.0	
2	31	181	0.99405	
3	31	258	0.9887875	
4	31	100	0.98375	
5	31	286	0.978725	
6	31	294	0.9738625	
7	31	288	0.9690375	
8	31	1	0.9643	
9	31	174	0.95985	
10	31	121	0.9555	
1	32	258	0.9887875	
