rank	user	item	score	rating
1	1	140	1	1.0
2	1	438	1	
3	1	23	1	4.0
4	1	1484	1	
5	1	658	1	
6	1	1020	1	
7	1	498	1	
8	1	854	1	
9	1	1005	1	
10	1	1174	1	
1	2	140	1	
2	2	438	1	
3	2	23	1	
4	2	1484	1	
5	2	658	1	
6	2	1020	1	
7	2	498	1	
8	2	854	1	
9	2	1005	1	
10	2	1174	1	
1	3	140	1	
2	3	438	1	
3	3	23	1	
4	3	1484	1	
5	3	658	1	
6	3	1020	1	
7	3	498	1	
8	3	854	1	
9	3	1005	1	
10	3	1174	1	
1	4	322	1	
2	4	1584	1	
3	4	761	1	
4	4	136	1	
5	4	718	1	
6	4	834	1	
7	4	1127	1	
8	4	1209	1	
9	4	376	1	
10	4	1426	1	
1	5	1323	1	
2	5	85	1	
3	5	81	1	
4	5	29	1	4.0
5	5	614	1	
6	5	106	1	
7	5	78	1	
8	5	34	1	
9	5	473	1	
10	5	927	1	
1	6	17	1	
2	6	943	1	
3	6	1450	1	
4	6	1092	1	
5	6	1336	1	
6	6	913	1	
7	6	121	1	
8	6	640	1	
9	6	1423	1	
10	6	795	1	
1	7	1657	1	
2	7	832	1	
3	7	301	1	
4	7	699	1	
5	7	730	1	
6	7	324	1	1.0
7	7	110	1	
8	7	644	1	5.0
9	7	1183	1	
10	7	632	1	5.0
1	8	567	1	
2	8	931	1	
3	8	1003	1	
4	8	587	1	
5	8	1435	1	
6	8	1426	1	
7	8	861	1	
8	8	93	1	
9	8	548	1	
10	8	1499	1	
1	9	61	1	
2	9	222	1	
3	9	1594	1	
4	9	730	1	
5	9	650	1	
6	9	654	1	
7	9	505	1	
8	9	1571	1	
9	9	188	1	
10	9	1181	1	
1	10	322	1	
2	10	1584	1	
3	10	761	1	
4	10	136	1	
5	10	718	1	
6	10	834	1	
7	10	1127	1	
8	10	1209	1	
9	10	376	1	
10	10	1426	1	
1	11	937	1	
2	11	323	1	
3	11	1504	1	
4	11	1639	1	
5	11	956	1	
6	11	226	1	
7	11	928	1	
8	11	35	1	
9	11	823	1	
10	11	183	1	
1	12	1323	1	
2	12	85	1	
3	12	81	1	
4	12	29	1	
5	12	614	1	
6	12	106	1	
7	12	78	1	
8	12	34	1	
9	12	473	1	
10	12	927	1	
1	13	803	1	3.0
2	13	1417	1	
3	13	668	1	1.0
4	13	1674	1	
5	13	719	1	
6	13	148	1	
7	13	1291	1	
